name,eigen_centrality,betweenness_centrality,degree_centrality,closeness_centrality,pagerank,hub,authority,degree,weighted_degree,louvain,leiden,girvan_newman,spectral
Dobby,0.009413715390124953,0.0007211070691818437,0.035532994923857864,0.48048780487804876,0.00235639308990266,0.002630626216725896,0.002630626216725895,7,75,0,0,0,0
Bob Ogden,0.003281456637658267,0.0,0.025380710659898477,0.4724220623501199,0.0022147634378437307,0.000917023753296245,0.0009170237532962446,5,58,0,1,0,0
Salazar Slytherin,0.010790543477915377,0.01617619592783432,0.14213197969543145,0.5253333333333333,0.004639079359530091,0.003015400999394068,0.0030154009993940676,28,130,0,1,0,0
Poppy Pomfrey,0.010386390898856767,0.00923769472764289,0.09644670050761421,0.5184210526315789,0.002721838075481878,0.0029024671145412005,0.002902467114541202,19,93,2,2,0,0
Rosmerta,0.008215262469646585,0.021243685115572772,0.055837563451776644,0.49622166246851385,0.0021145862565378265,0.002295804439053407,0.0022958044390534054,11,65,0,1,0,0
Demelza Robins,0.010778080662808645,0.010040993470645987,0.07614213197969542,0.4912718204488778,0.002681615530741273,0.0030119370686722048,0.0030119370686722082,15,91,1,0,0,0
Aragog,0.008781780667525482,0.0009599962263641946,0.04060913705583756,0.47699757869249393,0.0024273366282040964,0.0024540942399629683,0.0024540942399629674,8,85,6,0,0,0
Vernon Dursley,0.009708922848809849,0.010303300440479888,0.06598984771573603,0.4900497512437811,0.003018897040621365,0.0027131857010746015,0.002713185701074602,13,87,0,1,0,0
Phineas Nigellus Black,0.002520681030322755,0.0008439493571363579,0.03045685279187817,0.4746987951807229,0.001963020736194651,0.0007044178815960919,0.0007044178815960881,6,46,3,3,0,0
Arthur Weasley,0.008991548964746089,0.01902513097085221,0.13197969543147206,0.5211640211640212,0.0031648251371114147,0.0025126846481889984,0.0025126846481890014,26,109,2,2,0,0
Fenrir Greyback,0.00718429562663599,0.013119598411298599,0.08121827411167512,0.49747474747474746,0.0029374710489494375,0.002007691799770675,0.0020076917997706744,16,82,2,2,0,0
Pansy Parkinson,0.005696641047352456,0.007205340262987305,0.06091370558375634,0.4900497512437811,0.0021859898971673527,0.0015919246288526605,0.0015919246288526607,12,68,5,5,0,0
Fat Lady,0.0063890139711740256,0.004262721289546074,0.06091370558375634,0.49622166246851385,0.001661263410088241,0.0017853919924847124,0.0017853919924847126,12,42,0,0,0,0
Harper,0.005167489174272491,0.0,0.03045685279187817,0.45813953488372094,0.0016539649644911102,0.0014440259000429252,0.0014440259000429265,6,40,4,4,0,0
